フィールドコード,フィールド名,タイプ,所属サブテーブル,選択肢一覧
姓_ローマ字_,姓（ローマ字）,SINGLE_LINE_TEXT,,
レコード番号,レコード番号,RECORD_NUMBER,,
配信除外設定,配信除外設定,CHECK_BOX,,受講辞退（見込みあり）;メルマガNG;受講辞退（見込みなし）;スキルテスト実施後お断り;要注意;難スキルテスト実施;本コース返金;配信除外;手続き離脱;競合
更新者,更新者,MODIFIER,,
コース受講履歴,コース受講履歴,REFERENCE_TABLE,,
ステータス,ステータス,STATUS,,
名,名,SINGLE_LINE_TEXT,,
メールアドレス,メールアドレス,LINK,,
電話番号_ハイフンなし_,電話番号（ハイフンなし）,LINK,,
姓_カタカナ_,姓（カタカナ）,SINGLE_LINE_TEXT,,
氏名_ローマ字_,氏名（ローマ字）,SINGLE_LINE_TEXT,,
カテゴリー,カテゴリー,CATEGORY,,
氏名,氏名,SINGLE_LINE_TEXT,,
姓,姓,SINGLE_LINE_TEXT,,
性別,性別,DROP_DOWN,,男性;その他;女性
住所,住所,SINGLE_LINE_TEXT,,
システム管理項目,システム管理項目,GROUP,,
法人名_入金名義_,法人名 （入金名義）,SINGLE_LINE_TEXT,,
氏名ふりがな,氏名（ふりがな）,SINGLE_LINE_TEXT,,
年齢,年齢（前回コンタクト時）,CALC,,
作業者,作業者,STATUS_ASSIGNEE,,
名_ローマ字_,名（ローマ字）,SINGLE_LINE_TEXT,,
作成者,作成者,CREATOR,,
郵便番号,郵便番号,SINGLE_LINE_TEXT,,
ヒアリングシート.卒業後の希望,卒業後の希望,MULTI_LINE_TEXT,ヒアリングシート,
ヒアリングシート.職歴,職歴,MULTI_LINE_TEXT,ヒアリングシート,
ヒアリングシート.現在の状況,現在の状況,MULTI_LINE_TEXT,ヒアリングシート,
ヒアリングシート.得意なこと,得意なこと,MULTI_LINE_TEXT,ヒアリングシート,
ヒアリングシート.学習時間,学習時間,MULTI_LINE_TEXT,ヒアリングシート,
ヒアリングシート.苦手なこと,苦手なこと,MULTI_LINE_TEXT,ヒアリングシート,
ヒアリングシート.ヒアリング実施日,ヒアリング実施日,DATE,ヒアリングシート,
更新日時,更新日時,UPDATED_TIME,,
名_カタカナ_,名（カタカナ）,SINGLE_LINE_TEXT,,
作成日時,作成日時,CREATED_TIME,,
生年月日,生年月日,DATE,,
